NSX, Description, New Price, Discount percent, Old Price, 
Femfresh, Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Hằng Ngày 250ml, 168.000 ₫, 15%, 198.000 ₫, 
Marvis, Kem Đánh Răng Marvis Màu Bạc Làm Trắng Răng 85ml, 179.000 ₫, 36%, 279.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngăn Mùi 24H 250ml, 72.000 ₫, 1%, 73.000 ₫, 
Median, Kem Đánh Răng Median IQ 93% Trắng Răng Màu Trắng Bạc 120g, 38.000 ₫, 42%, 65.000 ₫, 
Listerine, Combo 2 Nước Súc Miệng Listerine Hơi Thở Thơm Mát 750ml/Chai, 183.000 ₫, 33%, 272.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Xanh Ombre, 650.000 ₫, 50%, 1.300.000 ₫, 
P/S, Kem Đánh Răng P/S Than Hoạt Tính Trắng Răng Tự Nhiên 230g, 37.000 ₫, 18%, 45.000 ₫, 
Femfresh, Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Làm Dịu Da 250ml, 198.000 ₫, not available, not available, 
Diana, Băng Quần Diana Ban Đêm Size M-L 5 Cái, 79.000 ₫, 11%, 89.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Đen, 650.000 ₫, 50%, 1.300.000 ₫, 
Propolinse, Nước Súc Miệng Propolinse Pure Chiết Xuất Sáp Ong 600ml, 135.000 ₫, 43%, 235.000 ₫, 
Eucryl, Kem Đánh Răng Eucryl Làm Trắng Răng Hương Bạc Hà 62g, 49.000 ₫, 35%, 75.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngăn Mùi 24H 150ml, 44.000 ₫, 10%, 49.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Trắng, 650.000 ₫, 50%, 1.300.000 ₫, 
Diana, Băng Vệ Sinh Diana Cool Fresh Mát Lạnh Siêu Mỏng Cánh 20M, 43.000 ₫, 9%, 47.000 ₫, 
Lifebuoy, Nước Rửa Tay Lifebuoy Bạc Bảo Vệ Chai 180g, 29.000 ₫, 17%, 35.000 ₫, 
Marvis, Kem Đánh Răng Marvis Màu Bạc Cho Người Hút Thuốc 85ml, 179.000 ₫, 36%, 279.000 ₫, 
Laurier, Băng Vệ Sinh Laurier Fresh&Free Siêu Mỏng Cánh 22cm 20 Miếng, 41.000 ₫, 2%, 42.000 ₫, 
Durex, Bao Cao Su Durex Invisible Siêu Mỏng Size 52mm (Hộp 10), 206.000 ₫, 15%, 241.000 ₫, 
Durex, Bao Cao Su Durex Siêu Mỏng Bôi Trơn Size 52mm (Hộp 10), 206.000 ₫, 15%, 241.000 ₫, 
Eucryl, Bột Làm Trắng Răng Eucryl Hương Bạc Hà 50g, 45.000 ₫, 40%, 75.000 ₫, 
Listerine, Nước Súc Miệng Listerine Trà Xanh Ngừa Sâu Răng 750ml, 132.000 ₫, 24%, 173.000 ₫, 
Chilly, Dung Dịch Vệ Sinh Phụ Nữ Chilly Delicato Dịu Êm 200ml, 158.000 ₫, 28%, 220.000 ₫, 
Sensodyne, Kem Đánh Răng Sensodyne Gentle Whitening Làm Sáng Răng 160g, 93.000 ₫, 13%, 107.500 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Dưỡng Ẩm 250ml, 84.000 ₫, 1%, 85.000 ₫, 
Median, Kem Đánh Răng Median IQ 93% Trắng Răng Màu Đỏ 120g, 38.000 ₫, 42%, 65.000 ₫, 
Diana, Băng Vệ Sinh Diana Sensi Siêu Mỏng Cánh Gói 20 Miếng, 49.000 ₫, 2%, 50.000 ₫, 
Chilly, Dung Dịch Vệ Sinh Phụ Nữ Chilly Kháng Khuẩn 200ml, 198.000 ₫, 27%, 270.000 ₫, 
Durex, Bao Cao Su Durex Kingtex Ôm Sát Bôi Trơn Size 49mm (Hộp 12), 108.000 ₫, 14%, 125.000 ₫, 
Jomi, Bông Tăm JOMI Kháng Khuẩn (200 Que), 24.000 ₫, 17%, 29.000 ₫, 
Listerine, Nước Súc Miệng Listerine Giúp Răng Trắng Sáng 750ml, 132.000 ₫, 24%, 173.000 ₫, 
