NSX, Description, New Price, Discount percent, Old Price, 
Selsun, Dầu Gội Selsun Ngừa Gàu Và Ngứa 1% Selenium Sulfide 100ml, 82.000 ₫, 12%, 93.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Cocoon, Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 310ml, 291.000 ₫, 10%, 325.000 ₫, 
Cocoon, [Phiên Bản Mới] Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 140ml, 147.000 ₫, 11%, 165.000 ₫, 
TRESemmé, Bộ Gội Xả TRESemmé Keratin Vào Nếp Suôn Mượt 640g+620g, 303.000 ₫, 18%, 370.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml+180g, 214.000 ₫, 49%, 420.000 ₫, 
Fino, Kem Ủ Tóc Fino Premium Touch Cải Thiện Tóc Hư Tổn 230g, 140.000 ₫, 33%, 209.000 ₫, 
OGX, Dầu Gội OGX Biotin & Collagen Làm Dày Tóc 385ml, 192.000 ₫, 35%, 295.000 ₫, 
Selsun, Dầu Gội Selsun Ngừa Gàu Và Ngứa 1% Selenium Sulfide 250ml, 183.000 ₫, 16%, 217.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490mlx2, 298.000 ₫, 31%, 430.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Sạch Dầu Mát Lạnh (490ml/chai), 215.000 ₫, 49%, 418.000 ₫, 
Tsubaki, Dầu Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Dưỡng Tóc Bóng Mượt 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Girlz Only, Dầu Gội Khô Girlz Only Tóc Bồng Bềnh Tức Thì 200ml, 89.000 ₫, 49%, 175.000 ₫, 
Cocoon, Dầu Gội Bưởi Cocoon Giảm Rụng & Kích Thích Mọc Tóc 310ml, 219.000 ₫, 11%, 245.000 ₫, 
Tsubaki, Mặt Nạ Tóc Tsubaki Cao Cấp Phục Hồi Hư Tổn 180g, 192.000 ₫, 35%, 295.000 ₫, 
TRESemmé, Dầu Gội TRESemmé Vào Nếp Suôn Mượt 640g, 178.000 ₫, 19%, 220.000 ₫, 
Cocoon, Combo Cocoon Dầu Gội & Nước Dưỡng Tóc Tinh Dầu Bưởi, 328.000 ₫, 20%, 410.000 ₫, 
Cocoon, Bộ Gội Xả Bưởi Cocoon Giảm Gãy Rụng Tóc 500ml+310ml, 448.000 ₫, 20%, 560.000 ₫, 
L'Oreal, Dầu Gội L'Oreal Paris Dưỡng Tóc Suôn Mượt Tóc Cao Cấp 440ml, 165.000 ₫, 17%, 199.000 ₫, 
Cocoon, Dầu Gội Bưởi Cocoon Giảm Rụng & Kích Thích Mọc Tóc 500ml, 336.000 ₫, 10%, 375.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Phục Hồi Hư Tổn Nặng & Giảm Gãy Rụng 490ml, 148.000 ₫, 41%, 249.000 ₫, 
TRESemmé, Serum Dưỡng Tóc TRESemmé Vào Nếp Bóng Mượt 97ml, 134.000 ₫, 32%, 196.000 ₫, 
Cocoon, Bộ Chăm Sóc Tóc Cocoon Dầu Gội 500ml + Dầu Xả 310ml + Nước Dưỡng Tóc Tinh Dầu Bưởi 140ml, 580.000 ₫, 20%, 725.000 ₫, 
L'Oreal, Dầu Dưỡng Tóc L'Oreal Tinh Dầu Hoa Tự Nhiên 100ml, 195.000 ₫, 15%, 229.000 ₫, 
Kumano, Dầu Gội Kumano Salon Link Phục Hồi Dành Cho Tóc Yếu 1000ml, 139.000 ₫, 39%, 229.000 ₫, 
Tsubaki, Dầu Xả Tsubaki Dưỡng Tóc Bóng Mượt 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Fanola, Mặt Nạ Ủ Tóc Fanola Phục Hồi Tóc Hư Tổn 1500ml, 279.000 ₫, 25%, 370.000 ₫, 
Double Rich, Nước Xịt Dưỡng Tóc Double Rich Cho Tóc Khô Xơ, 54.000 ₫, 36%, 85.000 ₫, 
Organic Shop, Tẩy Tế Bào Chết Da Đầu Organic Shop Kiềm Dầu 75ml, 137.000 ₫, 31%, 199.000 ₫, 
Pantene, Dầu Gội Pantene Ngăn Rụng Tóc 900ml, 189.000 ₫, 16%, 225.000 ₫, 
TRESemmé, Dầu Gội TRESemmé Vào Nếp Suôn Mượt 850g, 183.000 ₫, 30%, 263.000 ₫, 
TRESemmé, Dầu Xả TRESemmé Vào Nếp Suôn Mượt 620g, 164.000 ₫, 25%, 220.000 ₫, 
Dove, Dầu Gội Dove Phục Hồi Hư Tổn Chiết Xuất Bơ & Dầu Argan 500g, 131.000 ₫, 33%, 196.000 ₫, 
L'Oreal, Dầu Gội L'Oreal Paris Ngăn Gãy Rụng Tóc 620ml, 139.000 ₫, 18%, 169.000 ₫, 
Dr.ForHair, Dầu Gội Dr.ForHair Giảm Gãy Rụng, 379.000 ₫, 35%, 580.000 ₫, 
Dove, Kem Ủ Tóc Dove Keratin Phục Hồi Hư Tổn Cao Cấp 180ml, 89.000 ₫, 19%, 110.000 ₫, 
Cocoon, Combo 2 Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi Phiên Bản Mới 140ml, 280.000 ₫, 15%, 330.000 ₫, 
Milaganics, Dầu Dừa Milaganics Ép Lạnh Tinh Khiết 250ml, 90.000 ₫, 57%, 210.000 ₫, 
TRESemmé, Dầu Gội TRESemmé Ngăn Tóc Gãy Rụng 850g, 193.000 ₫, 27%, 263.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Cocoon, Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 310ml, 291.000 ₫, 10%, 325.000 ₫, 
Cocoon, [Phiên Bản Mới] Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 140ml, 147.000 ₫, 11%, 165.000 ₫, 
TRESemmé, Bộ Gội Xả TRESemmé Keratin Vào Nếp Suôn Mượt 640g+620g, 303.000 ₫, 18%, 370.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml+180g, 214.000 ₫, 49%, 420.000 ₫, 
Fino, Kem Ủ Tóc Fino Premium Touch Cải Thiện Tóc Hư Tổn 230g, 140.000 ₫, 33%, 209.000 ₫, 
OGX, Dầu Gội OGX Biotin & Collagen Làm Dày Tóc 385ml, 192.000 ₫, 35%, 295.000 ₫, 
Selsun, Dầu Gội Selsun Ngừa Gàu Và Ngứa 1% Selenium Sulfide 250ml, 183.000 ₫, 16%, 217.000 ₫, 
