NSX, Description, New Price, Discount percent, Old Price, 
Estee Lauder, Tinh Chất Estee Lauder Phục Hồi Ngăn Ngừa Lão Hóa 20ml, 1.615.000 ₫, 15%, 1.900.000 ₫, 
Clinique, Gel Dưỡng Ẩm Clinique Dành Cho Da Dầu, 1.105.000 ₫, 15%, 1.300.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 8g, 191.000 ₫, 13%, 220.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 3g, 61.000 ₫, 45%, 110.000 ₫, 
Laneige, Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 70ml, 599.000 ₫, 24%, 790.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 25ml, 210.000 ₫, 32%, 310.000 ₫, 
Kiehl's, Sữa Rửa Mặt Kiehl's Hoa Cúc Làm Sạch Sâu Da 230ml, 833.000 ₫, 10%, 925.000 ₫, 
Olaplex, Dầu Dưỡng Olaplex No.7 Giúp Tóc Bóng Mượt, 690.000 ₫, 22%, 890.000 ₫, 
Kiehl's, Combo Kiehl's Làm Sạch & Làm Dịu Da Từ Hoa Cúc (Phiên Bản Lễ Hội 2022), 1.575.000 ₫, 10%, 1.750.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Bền Màu Tóc Nhuộm 300ml, 249.000 ₫, 43%, 439.000 ₫, 
Kiehl's, Kem Dưỡng Kiehl's Cấp Ẩm Kiềm Dầu Không Bóng Nhờn 28ml, 437.000 ₫, 10%, 485.000 ₫, 
Kiehl's, Mặt Nạ Kiehl's Nghệ & Hạt Việt Quất Làm Sáng Da 28ml, 495.000 ₫, 10%, 550.000 ₫, 
Kiehl's, Serum Kiehl's Mờ Thâm Mụn & Đều Màu Da 30ml, 1.485.000 ₫, 10%, 1.650.000 ₫, 
Olaplex, Kem Ủ Olaplex No.3 Phục Hồi Tóc Hư Tổn 100ml, 690.000 ₫, 22%, 890.000 ₫, 
Olaplex, Dầu Gội Khô Olaplex No.4D Làm Sạch Tóc 250ml, 690.000 ₫, 22%, 890.000 ₫, 
Laneige, Mặt Nạ Ngủ Môi Laneige Hương Chanh Hồng (Bản Giới Hạn) 20g, 486.000 ₫, 10%, 540.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Phục Hồi Hư Tổn 300ml, 438.000 ₫, not available, 439.000 ₫, 
L'Oreal Professionnel, Dầu Gội L’Oréal Professionnel Cấp Ẩm Cho Tóc Khô 600ml, 318.000 ₫, not available, 319.000 ₫, 
Olaplex, Dầu Xả Olaplex No.5 Phục Hồi, 690.000 ₫, 22%, 890.000 ₫, 
Olaplex, Dầu Gội Olaplex No.4 Phục Hồi, 338.000 ₫, 25%, 450.000 ₫, 
L'Oreal Professionnel, Dầu Hấp L'Oréal Professionnel Chăm Sóc Tóc Thư Giãn 500ml, 368.000 ₫, not available, 369.000 ₫, 
Kiehl's, Nước Cân Bằng Kiehl's Hoa Cúc Làm Dịu Da 125ml, 630.000 ₫, 10%, 700.000 ₫, 
Olaplex, Dầu Gội Olaplex No.4C Làm Sạch Sâu Cho Tóc & Da Đầu 250ml, 690.000 ₫, 22%, 890.000 ₫, 
Kiehl's, Sữa Rửa Mặt Kiehl's Hoa Cúc Làm Sạch Sâu Da 75ml, 436.000 ₫, 10%, 485.000 ₫, 
Kiehl's, Serum Kiehl's Giúp Da Tái Tạo, 1.485.000 ₫, 10%, 1.650.000 ₫, 
Olaplex, Dầu Gội Olaplex No.4 Phục Hồi, 690.000 ₫, 22%, 890.000 ₫, 
Kiehl's, Kem Dưỡng Kiehl's Cấp Ẩm Kiềm Dầu Không Bóng Nhờn 50ml, 855.000 ₫, 10%, 950.000 ₫, 
L'Oreal Professionnel, Dầu Dưỡng Tóc L'Oréal Professionnel Phục Hồi Hư Tổn 90ml, 728.000 ₫, not available, 729.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Làm Dài, 438.000 ₫, not available, 439.000 ₫, 
Kiehl's, [Hàng Tách Set] Sữa Rửa Mặt Kiehl's Tạo Bọt Dịu Nhẹ Cho Mọi Loại Da 75ml, 360.000 ₫, 10%, 400.000 ₫, 
Kiehl's, Serum Kiehl's Giúp Da Tái Tạo, 2.160.000 ₫, 10%, 2.400.000 ₫, 
Kiehl's, [Hàng Tách Set] Nước Cân Bằng Kiehl's Hoa Cúc Làm Dịu Da 250ml, 1.040.000 ₫, 10%, 1.150.000 ₫, 
Olaplex, Serum Olaplex No.9 Giúp Phục Hồi Tóc 90ml, 690.000 ₫, 22%, 890.000 ₫, 
Laneige, Kem Dưỡng Ẩm Laneige Dành Cho Da Dầu Và Da Hỗn Hợp 50ml, 909.000 ₫, 9%, 1.000.000 ₫, 
Olaplex, Kem Xả Khô Olaplex No.6 Tạo Kiểu, 690.000 ₫, 22%, 890.000 ₫, 
Olaplex, Tinh Chất Olaplex No.0 Phục Hồi, 690.000 ₫, 22%, 890.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Làm Dày & Giúp Mọc Tóc 250ml, 550.000 ₫, not available, not available, 
L'Oreal Professionnel, Combo L’Oréal Professionnel Dầu Gội & Dầu Hấp Cấp Ẩm Cho Tóc Khô, 687.000 ₫, not available, 688.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 8g, 191.000 ₫, 13%, 220.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 3g, 61.000 ₫, 45%, 110.000 ₫, 
Laneige, Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 70ml, 599.000 ₫, 24%, 790.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 25ml, 210.000 ₫, 32%, 310.000 ₫, 
Kiehl's, Sữa Rửa Mặt Kiehl's Hoa Cúc Làm Sạch Sâu Da 230ml, 833.000 ₫, 10%, 925.000 ₫, 
Olaplex, Dầu Dưỡng Olaplex No.7 Giúp Tóc Bóng Mượt, 690.000 ₫, 22%, 890.000 ₫, 
Kiehl's, Combo Kiehl's Làm Sạch & Làm Dịu Da Từ Hoa Cúc (Phiên Bản Lễ Hội 2022), 1.575.000 ₫, 10%, 1.750.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Bền Màu Tóc Nhuộm 300ml, 249.000 ₫, 43%, 439.000 ₫, 
Kiehl's, Kem Dưỡng Kiehl's Cấp Ẩm Kiềm Dầu Không Bóng Nhờn 28ml, 437.000 ₫, 10%, 485.000 ₫, 
