NSX, Description, New Price, Discount percent, Old Price, 
Diamond, Nước Hoa Nữ Diamond Femme 45ml (Trắng), 359.000 ₫, 35%, 549.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ 5ml, 144.000 ₫, 59%, 350.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Pink 45ml (Hồng), 299.000 ₫, 46%, 549.000 ₫, 
Diamond, Nước Hoa Nam Diamond Homme 45ml (Đen), 348.000 ₫, 37%, 549.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Ruby Red 45ml (Đỏ), 357.000 ₫, 35%, 549.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Gold Dress 50ml, 143.000 ₫, 35%, 219.000 ₫, 
Gota, Nước Hoa Nam Gota Bouncy Eau de Parfum 50ml, 191.000 ₫, 35%, 296.000 ₫, 
Versace, Nước Hoa Nữ Versace Bright Crystal EDT 90ml, 1.691.000 ₫, 39%, 2.760.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào 5ml, 179.000 ₫, 49%, 350.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Black Dress 50ml, 163.000 ₫, 26%, 219.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love 88ml, 127.000 ₫, 25%, 169.000 ₫, 
Gennie, Combo Gennie Nước Hoa + Sữa Tắm Little Red Dress 50ml + 450ml, 189.000 ₫, 50%, 378.000 ₫, 
Marc Jacobs, Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 50ml, 1.927.000 ₫, 40%, 3.190.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #05 Montpellier 30ml, 354.000 ₫, 36%, 550.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Bodymiss, Xịt Thơm Toàn Thân Bodymiss Hương Stop & Stare 35ml, 55.000 ₫, 30%, 79.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Red Dress 50ml, 164.000 ₫, 25%, 219.000 ₫, 
Gota, Nước Hoa Nam Gota Iconic Eau de Parfum 50ml, 222.000 ₫, 25%, 296.000 ₫, 
Gennie, Combo Gennie Nước Hoa + Sữa Tắm Little Gold Dress 50ml + 450ml, 189.000 ₫, 50%, 378.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #04 Dresden 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Trắng 5ml, 160.000 ₫, 54%, 350.000 ₫, 
Diamond, Nước Hoa Nam Diamond Homme Dark Blue 45ml (Xanh), 398.000 ₫, 28%, 549.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Rose Dress Bản Giới Hạn 50ml, 226.000 ₫, 35%, 349.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hoa Đinh Hương Bản Giới Hạn 5ml, 189.000 ₫, 46%, 350.000 ₫, 
Versace, Nước Hoa Nữ Versace Bright Crystal Absolu EDP 90ml, 1.789.000 ₫, 39%, 2.915.000 ₫, 
Diamond, Nước Hoa Nam Diamond Homme Brown 45ml (Nâu), 408.000 ₫, 18%, 499.000 ₫, 
Moschino, Nước Hoa Nam Moschino Toy Boy EDP 50ml, 1.075.000 ₫, 41%, 1.837.000 ₫, 
Carolina Herrera, Nước Hoa Nữ Carolina Herrera Good Girl EDP 30ml, 1.809.000 ₫, 10%, 2.010.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Sweet Poison 88ml, 98.000 ₫, 42%, 169.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Adore You 88ml, 126.000 ₫, 25%, 169.000 ₫, 
Versace, Nước Hoa Nam Versace Pour Homme EDT 50ml, 1.443.000 ₫, 19%, 1.782.000 ₫, 
Laura Anne, Nước Hoa Nữ Laura Anne Allure For Her 50ml (Hồng), 149.000 ₫, 50%, 299.000 ₫, 
Lancôme, Nước Hoa Nữ Lancôme La Nuit Tresor EDP 75ml, 2.820.000 ₫, 9%, 3.100.000 ₫, 
Paco Rabanne, Nước Hoa Nam Paco Rabanne 1 Million Parfum EDP 100ml, 3.024.000 ₫, 10%, 3.360.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Passion 88ml, 99.000 ₫, 41%, 169.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Hoa Nhài Bản Giới Hạn 5ml, 160.000 ₫, 54%, 350.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #03 Granada 30ml, 354.000 ₫, 36%, 550.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #06 Grasse 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Verites, Nước Hoa Nữ Verites After The Rain 50ml, 239.000 ₫, not available, not available, 
Versace, Nước Hoa Nữ Versace Pour Femme Dylan Blue EDP 100ml, 2.152.000 ₫, 35%, 3.311.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme 45ml (Trắng), 359.000 ₫, 35%, 549.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Hoa Hồng Mạnh Mẽ 5ml, 144.000 ₫, 59%, 350.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Pink 45ml (Hồng), 299.000 ₫, 46%, 549.000 ₫, 
Diamond, Nước Hoa Nam Diamond Homme 45ml (Đen), 348.000 ₫, 37%, 549.000 ₫, 
Diamond, Nước Hoa Nữ Diamond Femme Ruby Red 45ml (Đỏ), 357.000 ₫, 35%, 549.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Gold Dress 50ml, 143.000 ₫, 35%, 219.000 ₫, 
Gota, Nước Hoa Nam Gota Bouncy Eau de Parfum 50ml, 191.000 ₫, 35%, 296.000 ₫, 
Versace, Nước Hoa Nữ Versace Bright Crystal EDT 90ml, 1.691.000 ₫, 39%, 2.760.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Trái Cây Ngọt Ngào 5ml, 179.000 ₫, 49%, 350.000 ₫, 
Gennie, Nước Hoa Nữ Gennie Little Black Dress 50ml, 163.000 ₫, 26%, 219.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Crazy in Love 88ml, 127.000 ₫, 25%, 169.000 ₫, 
Gennie, Combo Gennie Nước Hoa + Sữa Tắm Little Red Dress 50ml + 450ml, 189.000 ₫, 50%, 378.000 ₫, 
Marc Jacobs, Nước Hoa Nữ Marc Jacobs Daisy Intense EDP 50ml, 1.927.000 ₫, 40%, 3.190.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria EDP #05 Montpellier 30ml, 354.000 ₫, 36%, 550.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria #02 Val De Loire Hương Tươi Mát 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Lost In Paradise 88ml, 118.000 ₫, 30%, 169.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Delight 88ml, 118.000 ₫, 30%, 169.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Fresh Escape 88ml, 85.000 ₫, 50%, 169.000 ₫, 
Gota, Nước Hoa Nam Gota Urban Eau de Parfum 50ml, 236.000 ₫, 20%, 296.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Sweet Vanilla Cotton 88ml, 118.000 ₫, 30%, 169.000 ₫, 
De Memoria, Nước Hoa Nữ De Memoria #01 Spello Hương Mê Hoặc 30ml, 354.000 ₫, 36%, 550.000 ₫, 
Foellie, Nước Hoa Vùng Kín Foellie Hương Gỗ Tươi Mát 5ml, 179.000 ₫, 17%, 215.000 ₫, 
Verites, Nước Hoa Nam Nữ Verites Siren 50ml, 239.000 ₫, not available, not available, 
Bodymiss, Xịt Thơm Toàn Thân Bodymiss Hương Funky Fresh 105ml, 108.000 ₫, 31%, 156.000 ₫, 
Nerman, Bộ 3 Chai Nước Hoa Nam Nerman 4000 10ml/chai, 424.000 ₫, 15%, 499.000 ₫, 
Silkygirl, Xịt Thơm Toàn Thân Và Tóc Silkygirl Hương Love Bloom 50ml, 98.000 ₫, 1%, 99.000 ₫, 
Malissa Kiss, Xịt Thơm Toàn Thân Malissa Kiss Hương Nước Hoa Charm 88ml, 118.000 ₫, 30%, 169.000 ₫, 
