NSX, Description, New Price, Discount percent, Old Price, 
Black Rouge, Son Kem Lì Black Rouge A12 Dashed Brown Nâu Gạch 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
Maybelline, Bút Kẻ Mắt Nước Maybelline Sắc Mảnh BK1 Đen Sắc Sảo 0.4g, 164.000 ₫, 25%, 218.000 ₫, 
innisfree, Phấn Phủ innisfree Kiềm Dầu Dạng Bột Khoáng 5g (Mới 2023), 121.000 ₫, 33%, 180.000 ₫, 
Hotosu, Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 25.000 ₫, 29%, 35.000 ₫, 
Hotosu, Combo 2 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 50.000 ₫, 29%, 70.000 ₫, 
DHC, Son Dưỡng Môi DHC Không Màu Hỗ Trợ Giảm Thâm Môi 1.5g, 159.000 ₫, 20%, 199.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Ipek Klasik, Combo 4 Bông Tẩy Trang Ipek 150 Miếng, 111.000 ₫, 44%, 200.000 ₫, 
Vaseline, Sáp Dưỡng Môi Vaseline Hồng Xinh 7g, 55.000 ₫, 33%, 82.000 ₫, 
Mihoo, Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng, 47.000 ₫, 15%, 55.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Silcot, Combo 3 Bông Tẩy Trang Silcot Cơ Bản 82 Miếng/Hộp, 100.000 ₫, 15%, 117.000 ₫, 
Hotosu, Combo 5 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 125.000 ₫, 29%, 175.000 ₫, 
Ipek Klasik, Bông Tẩy Trang Ipek 150 Miếng, 27.000 ₫, 37%, 43.000 ₫, 
Silcot, Bông Tẩy Trang Silcot Cơ Bản Hộp 82 Miếng, 32.000 ₫, 27%, 44.000 ₫, 
Browit, Chuốt Mi Browit Kéo Dài Và Cong Mi Dạng Đầu Lược 5.5g, 99.000 ₫, 34%, 149.000 ₫, 
Maybelline, Kem Nền Maybelline Mịn Nhẹ Kiềm Dầu Chống Nắng #112 30ml, 199.000 ₫, 26%, 268.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #23N 15g, 620.000 ₫, 2%, 630.000 ₫, 
Jomi, Bông Tẩy Trang Jomi 120 Miếng, 27.000 ₫, 27%, 37.000 ₫, 
Maybelline, Nước Tẩy Trang Mắt Môi Maybelline 150ml, 139.000 ₫, 7%, 149.000 ₫, 
LilyBell, Bông Tẩy Trang LilyBell Lilian Puff Cotton 222 Miếng, 58.000 ₫, 27%, 80.000 ₫, 
Silcot, Combo 3 Bông Tẩy Trang Silcot Cao Cấp 66 Miếng/Hộp, 113.000 ₫, 14%, 132.000 ₫, 
Maybelline, Mascara Maybelline Dài Mi và Cong Mi, 119.000 ₫, 29%, 168.000 ₫, 
Maybelline, Kem Lót Maybelline Mịn Da Che Khuyết Điểm 22ml, 149.000 ₫, 21%, 188.000 ₫, 
Maybelline, Phấn Phủ Maybelline Mịn Nhẹ Kiềm Dầu Chống Nắng 6g #112, 149.000 ₫, 16%, 178.000 ₫, 
Maybelline, Mascara Maybelline Tơi Dài Mi Không Giới Hạn 6ml, 195.000 ₫, 27%, 268.000 ₫, 
Maybelline, Kem Nền Maybelline Tươi Mướt Chống Nắng SPF50 30ml #02, 169.000 ₫, 22%, 218.000 ₫, 
3CE, Xịt Khoá Makeup 3CE Có Nhũ Tạo Hiệu Ứng Nền Căng Bóng 100ml, 289.000 ₫, 15%, 340.000 ₫, 
Ipek Klasik, Combo 2 Bông Tẩy Trang Ipek 150 Miếng, 56.000 ₫, 44%, 100.000 ₫, 
The SAEM, Kem Che Khuyết Điểm The Saem Màu 1.5 Natural Beige 6.5g, 95.000 ₫, 52%, 200.000 ₫, 
3CE, Son Thỏi 3CE Vỏ Trong Suốt Unstained Red - Đỏ Phấn 3.5g, 373.000 ₫, 2%, 380.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15gx2, 790.000 ₫, 21%, 1.000.000 ₫, 
Mihoo, Bông Tẩy Trang Mihoo Bông Tròn Túi 200 Miếng, 56.000 ₫, 3%, 58.000 ₫, 
Mihoo, Bông Tẩy Trang Mihoo Kokimi Bông Tròn Túi 210 miếng, 57.000 ₫, 3%, 59.000 ₫, 
Maybelline, Son Bóng Maybelline 61 Risky - Gạch Đun 4.2ml, 229.000 ₫, 23%, 298.000 ₫, 
Maybelline, Phấn Má Hồng Maybelline Mịn Lì Chuẩn Màu 30 Fierce 4.5g, 112.000 ₫, 24%, 148.000 ₫, 
Mediheal, Son Dưỡng Môi Mediheal Ban Ngày Màu Hồng 10ml, 66.000 ₫, 54%, 143.000 ₫, 
Maybelline, Kem Nền Maybelline Mịn Nhẹ Kiềm Dầu Chống Nắng #120 30ml, 189.000 ₫, 29%, 268.000 ₫, 
LEMONADE, Bút Kẻ Mắt Lemonade Siêu Mảnh 01 Black Màu Đen 1g, 175.000 ₫, 20%, 219.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #23N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Hotosu, Combo 2 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 50.000 ₫, 29%, 70.000 ₫, 
Hotosu, Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 25.000 ₫, 29%, 35.000 ₫, 
DHC, Son Dưỡng Môi DHC Không Màu Hỗ Trợ Giảm Thâm Môi 1.5g, 159.000 ₫, 20%, 199.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Ipek Klasik, Combo 4 Bông Tẩy Trang Ipek 150 Miếng, 111.000 ₫, 44%, 200.000 ₫, 
Vaseline, Sáp Dưỡng Môi Vaseline Hồng Xinh 7g, 55.000 ₫, 33%, 82.000 ₫, 
innisfree, Phấn Phủ innisfree Kiềm Dầu Dạng Bột Khoáng 5g (Mới 2023), 121.000 ₫, 33%, 180.000 ₫, 
Mihoo, Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng, 47.000 ₫, 15%, 55.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A12 Dashed Brown Nâu Gạch 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
Silcot, Combo 3 Bông Tẩy Trang Silcot Cơ Bản 82 Miếng/Hộp, 100.000 ₫, 15%, 117.000 ₫, 
Hotosu, Combo 5 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 125.000 ₫, 29%, 175.000 ₫, 
Ipek Klasik, Bông Tẩy Trang Ipek 150 Miếng, 27.000 ₫, 37%, 43.000 ₫, 
Silcot, Bông Tẩy Trang Silcot Cơ Bản Hộp 82 Miếng, 32.000 ₫, 27%, 44.000 ₫, 
Browit, Chuốt Mi Browit Kéo Dài Và Cong Mi Dạng Đầu Lược 5.5g, 99.000 ₫, 34%, 149.000 ₫, 
Maybelline, Son Bóng Maybelline 125 Keen - Hồng Đào Đất 4.2ml, 229.000 ₫, 23%, 298.000 ₫, 
Glamrr Q, Phấn Nước Glamrr Q Kiềm Dầu Dưỡng Da 01 Màu Sáng 13g, 330.000 ₫, 37%, 525.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Màng Như Nhung Child Like - Đỏ Cam 4g, 272.000 ₫, 20%, 340.000 ₫, 
LEMONADE, Phấn Nước Lemonade Siêu Kiềm Dầu Màu 02 Medium Light 15g, 279.000 ₫, 20%, 349.000 ₫, 
Anessa, BB Trang Điểm Anessa Chống Nắng Dưỡng Da Màu Sáng 25ml, 312.000 ₫, 17%, 375.000 ₫, 
Aprilskin, Phấn Nước Aprilskin Ma Thuật Màu Sáng Hồng 22 Pink Beige 15g, 354.000 ₫, 46%, 660.000 ₫, 
Cocoon, Nước Tẩy Trang Cocoon Hoa Hồng Cấp Ẩm Da 310ml, 207.000 ₫, 16%, 245.000 ₫, 
Maybelline, Son Bóng Maybelline 130 Extra - Đỏ Nâu Đất 4.2ml, 229.000 ₫, 23%, 298.000 ₫, 
Maybelline, Kem Lót Maybelline Kiềm Dầu Ngăn Xuống Tông SPF 20 30ml, 185.000 ₫, 15%, 218.000 ₫, 
3CE, Son Kem Lì 3CE Sepia - Đỏ Gạch Đậm 4.6g, 272.000 ₫, 20%, 340.000 ₫, 
